                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91615,                 3.6355,                 2.4858,                 1.4582,                0.93906,                      1,                  0.995,                0.93214,                0.93906,                      1,                  0.995,                0.98109,                0.38849,                 1.4761,                 5.2207,                 1.0709,                0.00016,                0.00016,                0.00016
                      2,                0.41566,                0.55149,                0.84756,                 1.0013,                0.83333,                      1,                0.88559,                0.82587,                0.83333,                      1,                0.88559,                0.84873,                0.45768,                 0.5783,                 3.1323,                 1.1627,             0.00033663,             0.00033663,             0.00033663
                      3,                0.43297,                0.37213,                0.53746,                 1.0095,                 0.9375,                      1,                0.96187,                0.77791,                 0.9375,                      1,                0.96187,                0.89869,                0.60487,                 1.3939,                 6.7431,                 1.5308,              0.0005097,              0.0005097,              0.0005097
                      4,                0.46135,                0.41365,                0.56677,                 1.0317,                0.28846,                      1,                0.65667,                0.56404,                0.28846,                      1,                0.65667,                0.60497,                0.54194,                 2.0529,                 12.157,                 1.8751,             0.00067921,             0.00067921,             0.00067921
                      5,                0.47934,                0.30731,                0.54084,                 1.0353,                0.90909,                0.66667,                 0.8797,                0.41806,                0.90909,                0.66667,                0.91512,                0.59495,                 1.4987,                 2.8267,                 10.255,                 3.1268,             0.00084515,             0.00084515,             0.00084515
                      6,                0.48837,                0.39165,                0.54722,                 1.0432,                0.17857,                0.33333,                0.20016,                0.10224,                0.21429,                    0.4,                 0.2101,                 0.1104,                 2.1666,                 9.6843,                 29.581,                 4.1595,              0.0010075,              0.0010075,              0.0010075
                      7,                0.52636,                0.34307,                0.52383,                 1.0525,                0.71842,                0.86667,                0.82642,                0.59305,                0.71842,                0.86667,                0.82186,                0.53495,                0.93764,                 3.3663,                 7.7258,                 2.1218,              0.0011663,              0.0011663,              0.0011663
                      8,                0.46643,                0.37766,                0.52022,                 1.0232,                   0.06,                    0.2,                 0.1073,                 0.0734,                   0.06,                    0.2,                0.10493,                0.07539,                 2.3541,                 95.063,                 50.329,                 5.1735,              0.0013216,              0.0013216,              0.0013216
                      9,                0.63335,                0.42386,                0.69255,                 1.1163,                0.00579,                0.73333,                 0.0048,                0.00265,                0.00317,                    0.4,                0.00172,                0.00042,                 2.5502,                 377.15,                    inf,                 5.7828,              0.0014733,              0.0014733,              0.0014733
                     10,                0.58144,                0.39072,                 0.5859,                 1.1161,                 0.8392,                    0.8,                0.85241,                0.69575,                 0.8392,                    0.8,                0.80373,                0.49382,                 1.7493,                 7.5935,                 2.0393,                 3.2477,              0.0016214,              0.0016214,              0.0016214
                     11,                0.52009,                0.47861,                0.55716,                 1.0479,                0.30698,                0.53333,                0.29764,                0.16679,                0.30698,                0.53333,                0.29764,                0.17324,                 1.4835,                 2.5719,                 3.1778,                 2.6329,               0.001766,               0.001766,               0.001766
                     12,                0.64508,                 0.3425,                0.65902,                 1.1205,                0.11929,                    0.6,                 0.1183,                0.04357,                0.08036,                    0.4,                0.06833,                0.02163,                 1.8243,                 5.9842,                 9.5075,                 3.1195,              0.0017822,              0.0017822,              0.0017822
                     13,                0.64667,                0.39185,                0.66255,                 1.1455,                0.71424,                      1,                0.96265,                0.80632,                0.70019,                0.86667,                0.89796,                0.66333,                0.63529,                 8.5163,                 2.0979,                  1.711,              0.0017624,              0.0017624,              0.0017624
                     14,                0.54891,                0.34019,                 0.5855,                 1.0803,                0.76923,                0.66667,                0.86745,                0.66264,                0.76923,                0.66667,                0.82509,                0.63359,                0.83756,                 2.6734,                 4.7672,                 2.0227,              0.0017426,              0.0017426,              0.0017426
                     15,                0.48585,                0.35628,                0.50578,                 1.0508,                0.90909,                0.66667,                0.84627,                 0.5291,                0.72727,                0.53333,                0.61617,                0.42709,                 1.0022,                 4.3676,                 4.7078,                 2.5022,              0.0017228,              0.0017228,              0.0017228
                     16,                0.48105,                0.34179,                0.46918,                 1.0297,                 0.1875,                    0.8,                0.31076,                0.21594,                0.17188,                0.73333,                0.23166,                0.13063,                0.53396,                 4.7263,                 17.253,                 1.3772,               0.001703,               0.001703,               0.001703
                     17,                0.42916,                0.29981,                0.42917,                 1.0092,                0.17143,                    0.8,                0.25526,                0.20399,                0.17143,                    0.8,                0.25526,                0.17836,                0.70062,                 2.3442,                 12.995,                 1.3765,              0.0016832,              0.0016832,              0.0016832
                     18,                0.44023,                0.38221,                0.43631,                 1.0239,                0.92513,                      1,                  0.995,                0.86289,                0.92513,                      1,                  0.995,                0.90164,                0.60382,                0.67041,                0.99597,                  1.244,              0.0016634,              0.0016634,              0.0016634
                     19,                0.41421,                0.28501,                0.40236,                0.98429,                0.93594,                      1,                  0.995,                0.92482,                0.93594,                      1,                  0.995,                 0.9442,                0.33586,                0.49828,                0.67715,                0.97288,              0.0016436,              0.0016436,              0.0016436
                     20,                0.43105,                0.33167,                0.42064,                 1.0072,                0.98256,                      1,                  0.995,                 0.9585,                0.98256,                      1,                  0.995,                0.95195,                0.39362,                0.34754,                0.97407,                 1.0667,              0.0016238,              0.0016238,              0.0016238
                     21,                0.45533,                0.30851,                0.43924,                 1.0219,                0.93635,                0.86667,                0.97319,                0.61227,                0.93635,                0.86667,                0.97319,                0.55223,                 1.3697,                0.78867,                 1.5305,                 2.2132,               0.001604,               0.001604,               0.001604
                     22,                0.37776,                0.27214,                 0.3733,                0.94692,                0.99101,                      1,                  0.995,                0.93894,                0.99101,                      1,                  0.995,                0.90761,                0.35909,                0.69369,                0.68615,                 1.0261,              0.0015842,              0.0015842,              0.0015842
                     23,                0.35069,                0.24535,                0.35303,                0.95482,                0.93336,                      1,                0.99125,                0.82042,                0.93336,                      1,                0.99125,                0.78571,                0.81779,                0.31697,                 1.1745,                 1.3926,              0.0015644,              0.0015644,              0.0015644
                     24,                0.34353,                0.23416,                0.32765,                 0.9642,                0.99663,                      1,                  0.995,                 0.9598,                0.99663,                      1,                  0.995,                 0.9608,                0.38934,                0.23276,                 0.4082,                 1.0448,              0.0015446,              0.0015446,              0.0015446
                     25,                0.34632,                0.25095,                0.34694,                0.95903,                0.99251,                      1,                  0.995,                 0.9708,                0.99251,                      1,                  0.995,                0.96563,                0.33238,                0.44708,                0.67038,                0.92142,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.3611,                0.27611,                0.36527,                0.97295,                0.93596,                      1,                  0.995,                0.97712,                0.93596,                      1,                  0.995,                0.98163,                 0.3032,                0.38131,                0.99182,                0.90819,               0.001505,               0.001505,               0.001505
                     27,                0.35801,                0.27772,                0.35002,                0.95516,                 0.9876,                      1,                  0.995,                0.98055,                 0.9876,                      1,                  0.995,                0.94996,                0.31827,                0.53746,                0.35821,                0.92588,              0.0014852,              0.0014852,              0.0014852
                     28,                0.32517,                0.30118,                0.32518,                0.94272,                0.98407,                      1,                  0.995,                0.74549,                0.98407,                      1,                  0.995,                0.66566,                0.80946,                 3.9326,                 1.1571,                 1.8121,              0.0014654,              0.0014654,              0.0014654
                     29,                0.36293,                0.28358,                0.35136,                 0.9722,                 0.6475,                0.98029,                0.85312,                 0.6277,                 0.6475,                0.98029,                0.85312,                0.61882,                0.62127,                0.44532,                 1.2601,                 1.2393,              0.0014456,              0.0014456,              0.0014456
                     30,                0.34839,                0.27612,                 0.3283,                0.98855,                0.87409,                      1,                0.98688,                0.60856,                0.75577,                0.86667,                0.84537,                0.58027,                 0.5323,                0.17162,                 1.6846,                 1.1052,              0.0014258,              0.0014258,              0.0014258
                     31,                0.32956,                0.23399,                0.31956,                0.94505,                0.82551,                      1,                0.97861,                0.87572,                0.75183,                0.93333,                0.92194,                0.86037,                0.39943,                0.27293,                0.77441,                0.95708,               0.001406,               0.001406,               0.001406
                     32,                0.33278,                0.26616,                 0.3146,                0.95124,                0.97591,                      1,                  0.995,                0.95134,                0.97591,                      1,                  0.995,                0.92063,                0.43585,                0.71926,                 0.5556,                 1.1766,              0.0013862,              0.0013862,              0.0013862
                     33,                0.31489,                0.24374,                0.31182,                0.94407,                0.96181,                      1,                  0.995,                0.91176,                0.96181,                      1,                  0.995,                 0.9204,                 0.4264,                 1.2077,                0.51852,                 1.0962,              0.0013664,              0.0013664,              0.0013664
                     34,                0.34231,                 0.3167,                0.36662,                0.95022,                 0.9768,                      1,                  0.995,                0.97536,                 0.9768,                      1,                  0.995,                0.97442,                0.30832,                0.25162,                 0.4015,                0.92151,              0.0013466,              0.0013466,              0.0013466
                     35,                0.32295,                0.26847,                0.32251,                0.94451,                0.98982,                      1,                  0.995,                  0.995,                0.98982,                      1,                  0.995,                  0.995,                0.23342,                0.13633,                0.26895,                0.84541,              0.0013268,              0.0013268,              0.0013268
                     36,                0.29612,                0.20068,                 0.2845,                0.91802,                0.99677,                      1,                  0.995,                  0.995,                0.99677,                      1,                  0.995,                0.98512,                 0.2166,                0.23238,                0.24448,                0.81383,               0.001307,               0.001307,               0.001307
                     37,                0.28226,                0.22578,                0.28537,                 0.9316,                0.99674,                      1,                  0.995,                  0.995,                0.99674,                      1,                  0.995,                  0.995,                0.19883,                0.12434,                0.22699,                0.80407,              0.0012872,              0.0012872,              0.0012872
                     38,                0.29031,                0.25462,                0.29942,                0.94256,                0.99482,                      1,                  0.995,                  0.995,                0.99482,                      1,                  0.995,                  0.995,                0.19988,                0.11728,                0.21384,                0.81656,              0.0012674,              0.0012674,              0.0012674
